都道府県,開始日,終了日,救急搬送困難事案数
山形県,"2020-06-08","2020-06-14",2
福島県,"2020-06-08","2020-06-14",4
茨城県,"2020-06-08","2020-06-14",8
栃木県,"2020-06-08","2020-06-14",3
群馬県,"2020-06-08","2020-06-14",1
埼玉県,"2020-06-08","2020-06-14",10
千葉県,"2020-06-08","2020-06-14",44
東京都,"2020-06-08","2020-06-14",419
神奈川県,"2020-06-08","2020-06-14",62
新潟県,"2020-06-08","2020-06-14",13
富山県,"2020-06-08","2020-06-14",0
石川県,"2020-06-08","2020-06-14",3
福井県,"2020-06-08","2020-06-14",0
山梨県,"2020-06-08","2020-06-14",2
長野県,"2020-06-08","2020-06-14",0
岐阜県,"2020-06-08","2020-06-14",0
静岡県,"2020-06-08","2020-06-14",0
愛知県,"2020-06-08","2020-06-14",7
三重県,"2020-06-08","2020-06-14",0
滋賀県,"2020-06-08","2020-06-14",0
京都府,"2020-06-08","2020-06-14",10
大阪府,"2020-06-08","2020-06-14",114
兵庫県,"2020-06-08","2020-06-14",10
奈良県,"2020-06-08","2020-06-14",2
和歌山県,"2020-06-08","2020-06-14",1
鳥取県,"2020-06-08","2020-06-14",0
島根県,"2020-06-08","2020-06-14",1
岡山県,"2020-06-08","2020-06-14",0
広島県,"2020-06-08","2020-06-14",17
山口県,"2020-06-08","2020-06-14",2
徳島県,"2020-06-08","2020-06-14",1
香川県,"2020-06-08","2020-06-14",3
愛媛県,"2020-06-08","2020-06-14",1
高知県,"2020-06-08","2020-06-14",6
福岡県,"2020-06-08","2020-06-14",8
佐賀県,"2020-06-08","2020-06-14",1
長崎県,"2020-06-08","2020-06-14",0
熊本県,"2020-06-08","2020-06-14",3
大分県,"2020-06-08","2020-06-14",5
宮崎県,"2020-06-08","2020-06-14",7
鹿児島県,"2020-06-08","2020-06-14",3
沖縄県,"2020-06-08","2020-06-14",0
北海道,"2020-06-15","2020-06-21",52
青森県,"2020-06-15","2020-06-21",0
岩手県,"2020-06-15","2020-06-21",0
宮城県,"2020-06-15","2020-06-21",22
秋田県,"2020-06-15","2020-06-21",0
山形県,"2020-06-15","2020-06-21",3
福島県,"2020-06-15","2020-06-21",1
茨城県,"2020-06-15","2020-06-21",15
栃木県,"2020-06-15","2020-06-21",0
群馬県,"2020-06-15","2020-06-21",1
埼玉県,"2020-06-15","2020-06-21",25
千葉県,"2020-06-15","2020-06-21",60
東京都,"2020-06-15","2020-06-21",412
神奈川県,"2020-06-15","2020-06-21",54
新潟県,"2020-06-15","2020-06-21",14
富山県,"2020-06-15","2020-06-21",0
石川県,"2020-06-15","2020-06-21",1
福井県,"2020-06-15","2020-06-21",0
山梨県,"2020-06-15","2020-06-21",2
